objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
woodland,Mississippi,Chickasaw,Woodland ,33.79444444,-89.09083333,Standing,record,https://flic.kr/s/aHBqjzBhc5,
barge,Mississippi,Winston,Barge ,33.13416667,-88.85194444,Standing,record,https://flic.kr/s/aHBqjzWMEv,
bluff-lake,Mississippi,Noxubee,Bluff Lake ,33.27916667,-88.79305556,Standing,record,https://flic.kr/s/aHBqjzWQd2,
chickasaw-witch-dance,Mississippi,Chickasaw,Chickasaw (Witch Dance),33.95944444,-88.9175,Standing,record,https://flic.kr/s/aHBqjzWQg8,
clay,Mississippi,Clay,Clay,33.7525,-88.87777778,Standing,record,https://flic.kr/s/aHBqjzWMDg,
de-kalb1,Mississippi,Kemper,De Kalb ,32.7475,-88.65388889,Standing,record,https://flic.kr/s/aHBqjzWQj4,
energy,Mississippi,Clarke,Energy ,32.13666667,-88.55666667,Standing,record,https://flic.kr/s/aHBqjzWPHf,
flintkote2,Mississippi,Kemper,Flintkote ,32.92194444,-88.64277778,Standing,record,https://flic.kr/s/aHBqjzWQmJ,
lauderdale,Mississippi,Lauderdale,Lauderdale ,32.36194444,-88.63166667,Standing,record,https://flic.kr/s/aHBqjzWMNK,
maben,Mississippi,Oktibbeha,Maben ,33.49972222,-89.07083333,Standing,record,https://flic.kr/s/aHBqjzWMFb,
noxubee,Mississippi,Noxubee,Noxubee ,33.09944444,-88.65805556,Standing,record,https://flic.kr/s/aHBqjzWMUU/A,
oak-hill,Mississippi,Pontotoc,Oak Hill ,34.32722222,-88.94916667,Standing,record,https://flic.kr/s/aHBqjzWMJ2,
oktibbeha,Mississippi,Oktibbeha,Oktibbeha ,33.42111111,-88.89055556,Standing,record,https://flic.kr/s/aHBqjzWML1,
porterville,Mississippi,Kemper,Porterville ,32.68555556,-88.51,Standing,record,https://flic.kr/s/aHBqjzWMYb,
pace,Mississippi,Bolivar,Pace ,33.80138889,-90.87222222,Standing,record,https://flic.kr/s/aHBqjzXv5n,
rolling-fork,Mississippi,Issaquena,Rolling Fork,32.91055556,-90.955,Standing,record,https://flic.kr/s/aHBqjzXvau,
wilmont-washington,Mississippi,Washington,Wilmont (Washington) ,33.29888889,-90.93611111,Standing,record,https://flic.kr/s/aHBqjzXv69,
coahoma,Mississippi,Coahoma,Coahoma,34.18444444,-90.74055556,Removed,record,,
attala-kosciusko,Mississippi,Attala,Attala (Kosciusko) ,33.07583333,-89.62138889,Standing,record,https://flic.kr/s/aHBqjzXve5,
hinds,Mississippi,Hinds ,Hinds ,32.22833333,-90.36666667,Standing,record,https://flic.kr/s/aHBqjzXvac,
mars-hill,Mississippi,Winston,Mars Hill ,32.94583333,-89.25444444,Standing,record,https://flic.kr/s/aHBqjzXveC,
newton,Mississippi,Newton,Newton ,32.37083333,-89.12055556,Standing,record,https://flic.kr/s/aHBqjzXvdL,
poplar-creek,Mississippi,Montgomery,Poplar Creek,33.31111111,-89.59583333,Standing,record,https://flic.kr/s/aHBqjzXviv,
shiloh2,Mississippi,Rankin,Shiloh ,32.22777778,-89.83722222,Standing,record,https://flic.kr/s/aHBqjzXxtz,
