objectid,state,location,title,latitude,longitude,status,display_template,object_location,notes
woodland,Mississippi,Chickasaw,Woodland ,33°47'40''N,89°05'27''W,Standing,record,https://flic.kr/s/aHBqjzBhc5,
barge,Mississippi,Winston,Barge ,33°08'03''N,88°51'07''W,Standing,record,https://flic.kr/s/aHBqjzWMEv,
bluff-lake,Mississippi,Noxubee,Bluff Lake ,33°16'45''N,88°47'35''W,Standing,record,https://flic.kr/s/aHBqjzWQd2,
chickasaw-witch-dance,Mississippi,Chickasaw,Chickasaw (Witch Dance),33°57'34''N,88°55'03''W,Standing,record,https://flic.kr/s/aHBqjzWQg8,
clay,Mississippi,Clay,Clay,33°45'09''N,88°52'40''W,Standing,record,https://flic.kr/s/aHBqjzWMDg,
de-kalb,Mississippi,Kemper,De Kalb ,32°44'51''N,88°39'14''W,Standing,record,https://flic.kr/s/aHBqjzWQj4,
energy,Mississippi,Clarke,Energy ,32°08'12''N,88°33'24''W,Standing,record,https://flic.kr/s/aHBqjzWPHf,
flintkote,Mississippi,Kemper,Flintkote ,32°55'19''N,88°38'34''W,Standing,record,https://flic.kr/s/aHBqjzWQmJ,
lauderdale,Mississippi,Lauderdale,Lauderdale ,32°21'43''N,88°37'54''W,Standing,record,https://flic.kr/s/aHBqjzWMNK,
maben,Mississippi,Oktibbeha,Maben ,33°29'59''N,89°04'15''W,Standing,record,https://flic.kr/s/aHBqjzWMFb,
noxubee,Mississippi,Noxubee,Noxubee ,33°05'58''N,88°39'29''W,Standing,record,https://flic.kr/s/aHBqjzWMUU/A,
oak-hill,Mississippi,Pontotoc,Oak Hill ,34°19'38''N,88°56'57''W,Standing,record,https://flic.kr/s/aHBqjzWMJ2,
oktibbeha,Mississippi,Oktibbeha,Oktibbeha ,33°25'16''N,88°53'26''W,Standing,record,https://flic.kr/s/aHBqjzWML1,
porterville,Mississippi,Kemper,Porterville ,32°41'08''N,88°30'36''W,Standing,record,https://flic.kr/s/aHBqjzWMYb,
pace,Mississippi,Bolivar,Pace ,33°48'05''N,90°52'20''W,Standing,record,https://flic.kr/s/aHBqjzXv5n,
rolling-fork,Mississippi,Issaquena,Rolling Fork,32°54'38''N,90°57'18''W,Standing,record,https://flic.kr/s/aHBqjzXvau,
wilmont-washington,Mississippi,Washington,Wilmont (Washington) ,33°17'56''N,90°56'10''W,Standing,record,https://flic.kr/s/aHBqjzXv69,
coahoma,Mississippi,Coahoma,Coahoma,34°11'04''N,90°44'26''W,Removed,record,,
attala-kosciusko,Mississippi,Attala,Attala (Kosciusko) ,33°04'33''N,89°37'17''W,Standing,record,https://flic.kr/s/aHBqjzXve5,
hinds,Mississippi,Hinds ,Hinds ,32°13'42''N,90°22'00''W,Standing,record,https://flic.kr/s/aHBqjzXvac,
mars-hill,Mississippi,Winston,Mars Hill ,32°56'45''N,89°15'16''W,Standing,record,https://flic.kr/s/aHBqjzXveC,
newton,Mississippi,Newton,Newton ,32°22'15''N,89°07'14''W,Standing,record,https://flic.kr/s/aHBqjzXvdL,
poplar-creek,Mississippi,Montgomery,Poplar Creek,33°18'40''N,89°35'45''W,Standing,record,https://flic.kr/s/aHBqjzXviv,
shiloh,Mississippi,Rankin,Shiloh ,32°13'40''N,89°50'14''W,Standing,record,https://flic.kr/s/aHBqjzXxtz,
skates,Mississippi,Hinds ,Skates,32°11'41''N,90°37'36''W,Standing,record,https://flic.kr/s/aHBqjzXvb6,
dumas-tippah-county,Mississippi,Tippah ,Dumas > Tippah County,34°40'01''N,88°51'32''W,Standing,record,https://flic.kr/s/aHBqjzYBnx,
fairview,Mississippi,Itawamba,Fairview ,34°21'37''N,88°18'59''W,Standing,record,https://flic.kr/s/aHBqjzYBk1,
mount-hebron,Mississippi,Monroe,Mount Hebron ,33°47'40''N,88°20'48''W,Standing,record,https://flic.kr/s/aHBqjzYBjw,
splunge,Mississippi,Monroe,Splunge ,34°00'42''N,88°19'51''W,Standing,record,https://flic.kr/s/aHBqjzYEc6,
wren,Mississippi,Monroe,Wren ,33°58'49''N,88°34'01''W,Standing,record,https://flic.kr/s/aHBqjzYAHA,
clear-springs,Mississippi,Smith,Clear Springs ,32°08'36''N,89°20'42''W,Standing,record,https://flic.kr/s/aHBqjALg4U,
conehatta,Mississippi,Newton,Conehatta ,32°27'31''N,89°15'36''W,Standing,record,https://flic.kr/s/aHBqjALjt2,
morton-ii,Mississippi,Scott,Morton (II),"32°19'12.8""N ","89°40'01.0""W",Standing,record,https://flic.kr/s/aHBqjALnPx,
phoenix,Mississippi,Yazoo,Phoenix,32°34'31''N,90°34'19''W,Standing,record,https://flic.kr/s/aHBqjALnQ9,
sun,Mississippi,Scott,Sun ,32°15'16''N,89°22'34''W,Removed,record,https://flic.kr/s/aHBqjALfYJ,
leflore,Mississippi,Leflore,Leflore ,33°31'35''N,90°15'48''W,Standing,record,https://flic.kr/s/aHBqjALnVK,
lexington,Mississippi,Holmes,Lexington,33°03'40''N,90°01'00''W,Standing,record,https://flic.kr/s/aHBqjALnAh,
midway,Mississippi,Yazoo,Midway ,32°51'55''N,90°08'24''W,Standing,record,https://flic.kr/s/aHBqjALnzF,
providence,Mississippi,Holmes,Providence,33°14'37''N,90°07'46''W,Standing,record,https://flic.kr/s/aHBqjALnBe,
teasdale,Mississippi,Tallahatchie,Teasdale ,34°06'39''N,90°01'22''W,Standing,record,https://flic.kr/s/aHBqjALnWm,
yazoo,Mississippi,Yazoo,Yazoo,32°44'53''N,90°21'27''W,Standing,record,https://flic.kr/s/aHBqjALnQQ,
louisville-winston,Mississippi,Winston,Louisville (Winston),33°10'08''N,89°05'17''W,Standing,record,https://flic.kr/s/aHBqjALLyM,
mccool,Mississippi,Attala,McCool ,33°06'33''N,89°19'08''W,Standing,record,,"ICloud Drive
ICloud Drive
ICloud Drive"
noxapater,Mississippi,Winston,Noxapater ,32°59'25''N,89°03'08''W,Removed,record,,
sandtown,Mississippi,Neshoba,Sandtown ,32°48'03''N,88°59'39''W,Removed,record,,
lincoln,Mississippi,Lincoln,Lincoln ,31°31'26''N,90°32'06''W,Standing,record,https://flic.kr/s/aHBqjBxuA8,
simpson,Mississippi,Simpson,Simpson ,31°54'13''N,89°46'52''W,Standing,record,https://flic.kr/s/aHBqjBxtu4,
smith,Mississippi,Smith,Smith ,31°59'31''N,89°31'07''W,Standing,record,https://flic.kr/s/aHBqjBxuwa,
summit,Mississippi,Pike,Summit ,31°19'05''N,90°28'02''W,Standing,record,https://flic.kr/s/aHBqjBxxsH,
tilton,Mississippi,Lawrence,Tilton ,31°26'02''N,90°04'52''W,Standing,record,https://flic.kr/s/aHBqjBxt15,
monticello,Mississippi,Lawrence,Monticello,31°36'11''N,90°02'46''W,Removed,record,https://flic.kr/s/aHBqjBxxqU,
amite,Mississippi,Amite,Amite ,31°10'29''N,90°47'20''W,Standing,record,https://flic.kr/s/aHBqjBxxyK,
berwick,Mississippi,Amite,Berwick,31°06'26''N,90°56'16''W,Standing,record,https://flic.kr/s/aHBqjBxtDx,
buffalo,Mississippi,Wilkinson,Buffalo ,31°16'00''N,91°11'42''W,Standing,record,https://flic.kr/s/aHBqjBxtaP,
church-hill,Mississippi,Jefferson,Church Hill,31°39'23''N,91°13'46''W,Standing,record,https://flic.kr/s/aHBqjBxziH,
hoodtown,Mississippi,Copiah,Hoodtown ,32°00'03''N,90°36'08''W,Standing,record,https://flic.kr/s/aHBqjBxuKB,
natchez,Mississippi,Adams,Natchez ,31°29'29''N,91°21'58''W,Standing,record,https://flic.kr/s/aHBqjBxxAP,
peyton,Mississippi,Claiborne,Peyton ,31°49'59''N,90°46'52''W,Standing,record,https://flic.kr/s/aHBqjBxxBA,
smithdale,Mississippi,Amite,Smithdale,31°18'45''N,90°41'36''W,Standing,record,https://flic.kr/s/aHBqjBxxy9,
stephenson,Mississippi,Amite,Stephenson,31°17'08''N,91°00'13''W,Standing,record,https://flic.kr/s/aHBqjBxt9X,
camden,Mississippi,Madison,Camden,32°49'14''N,89°46'13''W,Standing,record,https://flic.kr/s/aHBqjBxtdV,
sharon,Mississippi,Madison,Sharon,32°39'38''N,89°55'57''W,Standing,record,https://flic.kr/s/aHBqjBxtd9,
